model,r2,rmse,mae,cv_rmse,n_estimators,learning_rate,max_depth
LightGBM (Optuna),0.17190026993477514,11995.44082713099,2285.7662284131775,0.8382834056692048,,,
Manual 2 — balanced,0.16706360738243908,11999.039926218626,2287.1357878829904,0.8415723866653675,300.0,0.05,5.0
Manual 3 — deep/slow,0.16541216250275825,12002.276100830013,2289.2432999215303,0.8419404093869691,500.0,0.03,-1.0
LightGBM,0.16127897433994176,12006.474072420786,2289.95747661539,0.8429324578543312,,,
XGBoost,0.16070970242391203,12007.136677329077,2288.633241947739,0.842845820527842,,,
Gradient Boosting,0.15768850008065705,12009.021715975197,2292.6380830523026,0.8444120600486749,,,
Manual 1 — shallow/fast,0.15400375521453025,12011.88461049848,2294.56336029315,0.8457568878149049,100.0,0.1,3.0
Random Forest,0.1514628984269445,11996.635647714778,2311.1902045239326,0.8511858374350567,,,
Linear Regression,0.12479061061750518,12026.305494971022,2318.6339667335465,0.8583494771690627,,,
Ridge (alpha=1.0),0.1247884882004463,12026.302455023599,2318.627857996996,0.8583474893229853,,,
Lasso (alpha=0.01),0.11213191013114343,12038.75996509764,2325.735107374739,0.8675095915137353,,,
Dummy (mean),-1.0175783529131621e-06,12093.247886028656,2407.8135968531424,0.9246829232744309,,,
